NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSGlobalAttributes,10,110,0,0,0,0,0,0
CSGtEq,4,8,0,0,0,0,0,0
CSExpressionStat,3656,3656,0,0,0,0,0,0
CSSimpleName,4164,29397,0,0,0,0,0,0
CSNewObject,878,2634,0,0,9,27,0,0
CSParam,364,3359,0,0,0,0,0,0
CSAttrArgName,4,46,0,0,0,0,0,0
CSLtEq,5,10,0,0,0,0,0,0
CSRankSpecifier,19,38,0,0,0,0,0,0
CSConstructor,12,231,0,0,0,0,0,0
CSExprMemberAccess,7461,7461,0,0,83,83,0,0
CSElse,31,124,0,0,0,0,0,0
CSTypeOf,9,72,0,0,0,0,0,0
CSOr,7,14,0,0,0,0,0,0
CSDotName,2475,2475,0,0,0,0,0,0
CSSingleAccess,3270,29099,0,0,0,0,0,0
CSForeach,5,114,0,0,0,0,0,0
CSAliasTypeRef,453,2119,0,0,0,0,0,0
CSLiteral,3279,18339,0,0,0,0,0,0
CSAttrTarget,4,24,0,0,0,0,0,0
CSPlus,75,75,0,0,0,0,0,0
CSProperty,24,455,0,0,0,0,0,0
CSAttrArgList,30,65,0,0,0,0,0,0
CSArg,2759,63,0,0,0,0,0,0
CSLocalVar,212,0,0,0,0,0,0,0
CSNegate,3,3,0,0,0,0,0,0
CSPPRegion,18,637,0,0,0,0,0,0
CSVarEvent,4,48,0,0,0,0,0,0
CSInc,7,14,0,0,0,0,0,0
CSAttrSection,26,52,0,0,0,0,0,0
CSMethod,194,4423,0,0,0,0,0,0
CSAttribute,36,0,0,0,0,0,0,0
CSAnd,9,18,0,0,0,0,0,0
CSVarInit,271,271,0,0,0,0,0,0
CSNewArrayTypeArray,9,27,0,0,0,0,0,0
CSNotEql,35,70,0,0,0,0,0,0
CSIf,113,452,0,0,0,0,0,0
CSArrayTypeRef,19,0,0,0,0,0,0,0
CSSemicolon,1,1,0,0,0,0,0,0
CSNot,10,10,0,0,0,0,0,0
CSVarDeclarator,478,4889,0,0,0,0,0,0
CSBaseInit,12,60,0,0,0,0,0,0
CSTypeBase,12,12,0,0,0,0,0,0
CSDelegateDecl,4,126,0,0,0,0,0,0
CSThisMemberAccess,3059,3059,0,0,30,30,0,0
CSExprElementAccess,63,0,0,0,0,0,0,0
CSFor,4,28,0,0,0,0,0,0
CSThis,3120,12480,0,0,0,0,0,0
CSPPEndRegion,18,180,0,0,0,0,0,0
CSParamList,210,615,0,0,0,0,0,0
CSIndexList,63,166,0,0,0,0,0,0
CSArrayInitializer,9,198,0,0,0,0,0,0
CSBlock,420,840,0,0,0,0,0,0
CSNested,43,86,0,0,0,0,0,0
CSTypeSpec,6,12,0,0,0,0,0,0
CSArgList,1856,5074,0,0,0,0,0,0
CSWhile,3,21,0,0,0,0,0,0
CSGet,24,72,0,0,0,0,0,0
CSDefault,6,42,0,0,0,0,0,0
CSEql,32,64,0,0,0,0,0,0
CSReturn,55,385,0,0,0,0,0,0
CSForInit,4,0,0,0,0,0,0,0
CSCatch,10,50,0,0,0,0,0,0
CSBitOr,18,18,0,0,0,0,0,0
CSAssign,3131,3273,0,0,0,0,0,0
CSUsingNamespace,59,354,0,0,0,0,0,0
CSLocalVarStat,208,208,0,0,0,0,0,0
CSTypeRef,1585,0,0,0,19,0,0,0
CSTry,12,36,0,0,0,0,0,0
CSCall,957,0,0,0,0,0,0,0
CSBreak,2,12,0,0,0,0,0,0
CSMemberAccess,10633,90788,0,0,0,0,0,0
CSCompilationUnit,27,0,0,0,0,0,0,0
CSPropBody,24,48,0,0,0,0,0,0
CSConstPattern,24,0,0,0,0,0,0,0
CSNamespace,26,286,0,0,0,0,0,0
CSCast,29,58,0,0,0,0,0,0
CSAttrArg,26,0,0,0,0,0,0,0
CSMult,15,15,0,0,0,0,0,0
CSMinus,11,11,0,0,0,0,0,0
CSCond,7,14,0,0,0,0,0,0
CSClass,29,848,0,0,0,0,0,0
CSSet,17,51,0,0,0,0,0,0
CSGt,11,11,0,0,0,0,0,0
CSFinally,2,14,0,0,0,0,0,0
CSConst,1,6,0,0,0,0,0,0
CSLt,2,2,0,0,0,0,0,0
CSIsPattern,24,48,0,0,0,0,0,0
CSField,261,1993,0,0,0,0,0,0
